sleep_hours,screen_time,exercise_minutes,daily_pending_tasks,interruptions,fatigue_level,social_hours,coffee_cups,diet_quality,weather,mood_score,stress_level
8.23,3.38,0.78,0.00,5.00,0.49,2.53,0.00,good,cloudy,7.36,1.00
9.85,2.48,9.19,2.00,3.00,5.42,0.99,1.00,average,snowy,8.72,1.00
6.63,4.53,77.30,3.00,2.00,4.19,3.84,3.00,average,snowy,10.00,1.32
5.87,5.93,10.92,3.00,5.00,6.62,2.99,0.00,average,snowy,6.06,2.62
5.67,6.97,13.94,2.00,7.00,4.44,3.19,2.00,average,cloudy,7.51,1.19
5.78,4.85,48.14,3.00,5.00,3.85,1.31,1.00,average,rainy,10.00,1.87
6.88,4.36,25.26,2.00,5.00,6.87,2.20,0.00,average,snowy,9.98,1.58
7.51,5.30,17.45,2.00,7.00,7.56,0.96,1.00,poor,rainy,8.03,1.88
7.42,3.33,31.97,4.00,7.00,4.80,2.22,1.00,poor,snowy,10.00,3.29
8.24,9.18,39.96,4.00,10.00,4.84,0.23,1.00,poor,snowy,10.00,3.39
7.02,1.78,12.21,1.00,4.00,7.54,3.06,0.00,average,snowy,8.47,1.00
9.18,5.37,12.89,4.00,4.00,7.32,1.36,2.00,average,cloudy,7.76,1.89
6.60,9.05,9.76,1.00,0.00,7.06,2.30,0.00,average,snowy,4.84,1.00
11.08,5.01,68.05,5.00,3.00,4.19,2.49,0.00,average,rainy,10.00,1.18
7.94,4.62,23.89,1.00,3.00,3.68,1.45,1.00,good,snowy,10.00,1.00
5.71,4.29,1.74,4.00,2.00,8.27,1.20,0.00,good,rainy,3.87,2.90
5.39,4.64,39.75,3.00,9.00,6.22,1.88,1.00,average,rainy,10.00,2.93
7.72,7.75,13.10,2.00,8.00,3.52,2.80,3.00,average,sunny,6.44,2.19
6.66,0.58,1.42,2.00,8.00,4.79,1.85,1.00,good,rainy,7.10,1.51
8.07,8.07,15.96,1.00,4.00,5.17,2.60,1.00,average,sunny,6.07,1.00
7.71,2.15,10.80,2.00,10.00,4.79,2.79,0.00,average,cloudy,8.76,1.18
6.89,4.47,42.03,1.00,3.00,4.42,1.81,1.00,good,snowy,10.00,1.00
5.73,4.14,4.56,3.00,2.00,7.46,1.89,0.00,average,cloudy,5.57,1.41
4.73,6.18,35.03,1.00,2.00,6.06,2.14,2.00,average,cloudy,10.00,1.00
6.33,1.80,16.31,1.00,2.00,9.51,3.14,2.00,good,rainy,8.20,1.00
8.28,5.92,1.12,2.00,6.00,7.57,1.66,0.00,average,snowy,5.09,1.00
7.32,9.05,71.40,5.00,2.00,5.27,3.14,2.00,good,snowy,10.00,2.16
5.13,2.27,14.37,6.00,9.00,7.83,2.26,0.00,average,cloudy,7.61,8.24
7.26,5.38,6.87,2.00,8.00,5.71,1.26,1.00,average,sunny,5.73,1.52
7.58,3.68,12.68,3.00,4.00,9.84,1.96,3.00,average,sunny,7.38,2.46
5.67,5.85,39.02,5.00,4.00,4.37,0.88,1.00,good,rainy,10.00,3.75
7.23,5.04,7.27,5.00,3.00,5.91,0.65,0.00,poor,sunny,6.55,2.29
7.09,3.72,4.28,0.00,9.00,3.80,2.61,1.00,average,sunny,7.34,1.00
5.29,5.98,2.76,3.00,10.00,4.24,2.80,0.00,good,cloudy,3.89,3.75
7.54,8.61,7.07,3.00,5.00,4.32,1.97,1.00,average,sunny,4.30,1.04
7.84,4.62,30.29,1.00,5.00,7.47,2.05,1.00,poor,snowy,10.00,1.00
8.62,6.44,12.76,1.00,9.00,5.42,1.42,0.00,average,cloudy,7.39,1.00
8.58,2.41,5.16,0.00,2.00,0.08,2.17,2.00,average,cloudy,8.19,1.00
4.93,3.09,3.63,3.00,5.00,5.19,3.98,0.00,good,sunny,6.36,2.86
5.59,5.94,8.09,2.00,5.00,3.05,3.01,1.00,average,snowy,6.21,1.58
7.77,7.97,56.24,1.00,8.00,4.12,1.92,0.00,average,snowy,10.00,1.00
7.77,5.71,8.40,6.00,6.00,7.30,1.84,0.00,average,sunny,6.00,4.28
7.77,4.37,88.66,0.00,6.00,2.31,1.62,0.00,average,snowy,10.00,1.00
12.00,5.00,13.28,1.00,7.00,2.54,0.59,1.00,average,rainy,9.22,1.00
7.86,2.50,3.95,3.00,5.00,1.68,1.52,0.00,average,rainy,8.50,1.10
8.70,6.21,44.35,2.00,5.00,4.23,2.67,1.00,good,sunny,10.00,1.00
8.43,6.76,12.34,2.00,7.00,1.62,1.07,1.00,good,cloudy,8.52,1.00
7.98,4.10,24.73,6.00,4.00,1.79,1.72,1.00,poor,cloudy,10.00,3.40
6.53,4.06,82.35,3.00,4.00,4.54,0.88,1.00,average,snowy,10.00,2.31
8.14,5.53,1.03,1.00,6.00,5.63,2.79,1.00,poor,rainy,4.72,1.00
5.84,4.13,2.03,3.00,6.00,3.18,0.73,1.00,average,cloudy,5.22,1.99
6.64,4.87,25.49,4.00,4.00,5.72,2.59,0.00,poor,snowy,8.99,2.00
6.27,9.20,6.62,0.00,3.00,5.22,3.03,0.00,average,rainy,3.48,1.00
7.12,4.51,4.07,2.00,3.00,6.08,1.68,2.00,average,cloudy,6.00,1.00
10.47,4.28,0.80,1.00,10.00,2.92,1.31,2.00,average,snowy,7.14,1.00
4.20,3.70,0.44,3.00,6.00,8.97,2.48,0.00,good,sunny,3.64,3.13
8.03,6.49,29.79,5.00,6.00,2.72,3.60,1.00,average,sunny,10.00,3.91
4.58,4.64,2.89,4.00,4.00,3.75,3.34,1.00,average,cloudy,4.22,3.16
6.29,3.70,12.61,2.00,1.00,6.03,1.93,2.00,average,snowy,7.65,1.00
8.63,7.64,18.62,3.00,5.00,5.24,1.12,1.00,average,rainy,8.08,2.38
7.10,7.84,11.18,3.00,7.00,6.69,1.77,1.00,good,sunny,4.97,1.91
5.38,3.80,0.55,5.00,4.00,4.38,0.31,1.00,average,rainy,4.64,4.22
5.93,1.27,30.60,1.00,3.00,2.55,1.44,4.00,good,snowy,10.00,1.00
8.02,7.02,0.21,4.00,5.00,1.95,2.45,3.00,average,sunny,5.65,3.22
5.90,3.63,28.70,0.00,7.00,8.56,1.63,0.00,average,cloudy,9.38,1.00
7.32,6.58,44.76,2.00,9.00,4.39,1.40,1.00,poor,sunny,10.00,1.70
7.07,1.06,11.34,2.00,2.00,4.67,1.94,1.00,good,cloudy,9.71,1.00
6.02,6.79,15.34,1.00,6.00,8.60,1.73,0.00,poor,rainy,5.90,1.00
10.22,2.58,12.96,4.00,2.00,4.02,2.76,5.00,good,sunny,10.00,1.17
7.95,6.46,9.86,5.00,3.00,5.05,0.67,0.00,average,snowy,7.00,2.38
3.96,5.03,43.68,2.00,5.00,2.93,2.53,4.00,average,rainy,10.00,2.76
7.28,3.09,44.87,4.00,3.00,2.38,1.95,2.00,average,rainy,10.00,1.92
6.01,4.19,8.18,4.00,4.00,8.78,2.43,1.00,poor,cloudy,5.71,2.94
8.28,6.37,19.09,2.00,5.00,8.81,0.61,2.00,poor,snowy,8.05,1.00
5.81,5.21,52.32,2.00,4.00,7.04,2.88,1.00,good,rainy,10.00,1.40
6.83,6.17,65.43,3.00,5.00,6.98,2.54,2.00,average,sunny,10.00,2.39
7.76,8.95,14.22,3.00,2.00,6.51,3.67,0.00,average,cloudy,5.79,1.00
8.30,1.87,12.06,3.00,4.00,3.52,1.17,0.00,poor,snowy,10.00,1.24
5.20,8.23,6.53,4.00,5.00,5.58,1.42,3.00,poor,cloudy,4.78,3.71
6.50,5.21,63.82,5.00,6.00,3.99,0.22,1.00,average,cloudy,10.00,4.12
6.29,3.20,3.08,4.00,10.00,0.00,1.18,0.00,average,rainy,6.81,3.76
6.02,2.34,17.34,4.00,5.00,7.24,3.43,1.00,good,sunny,8.75,2.79
9.65,4.62,6.64,2.00,6.00,6.11,2.30,0.00,average,sunny,6.80,1.00
7.61,6.84,6.54,2.00,7.00,2.37,1.27,1.00,good,snowy,6.12,1.04
5.11,4.74,10.38,5.00,4.00,4.28,2.13,0.00,poor,snowy,6.00,3.44
8.38,8.02,134.39,2.00,7.00,7.10,1.94,0.00,poor,sunny,10.00,1.00
10.18,2.10,1.13,1.00,6.00,5.26,0.09,1.00,poor,cloudy,7.83,1.00
8.55,4.98,17.28,2.00,2.00,1.60,0.27,0.00,good,cloudy,9.73,1.00
4.72,2.50,1.72,4.00,3.00,2.57,3.11,0.00,good,sunny,5.18,2.69
6.27,5.73,3.36,2.00,4.00,8.71,2.74,1.00,poor,rainy,5.09,1.00
8.90,6.77,11.58,4.00,4.00,5.13,0.52,2.00,poor,cloudy,6.44,1.65
5.94,4.16,14.29,1.00,5.00,7.12,1.87,0.00,average,sunny,6.84,1.00
7.67,0.00,5.99,3.00,7.00,8.68,1.28,0.00,good,rainy,7.04,2.29
8.16,5.40,7.61,5.00,3.00,4.08,3.09,2.00,good,cloudy,6.70,2.75
5.61,5.87,1.82,4.00,3.00,5.70,2.45,0.00,average,snowy,3.79,3.34
6.91,5.81,7.23,1.00,6.00,1.07,0.90,1.00,average,cloudy,6.21,1.00
2.14,7.47,67.96,2.00,3.00,3.79,2.12,2.00,good,cloudy,10.00,2.13
5.46,2.86,57.90,2.00,9.00,6.15,1.96,1.00,average,sunny,10.00,3.03
6.62,6.36,8.16,7.00,7.00,4.62,1.96,2.00,average,cloudy,5.96,6.49
5.13,7.39,16.92,2.00,5.00,5.90,1.49,2.00,average,cloudy,7.31,2.40
9.45,1.44,48.07,3.00,6.00,6.86,2.02,1.00,average,rainy,10.00,1.17
4.85,5.64,0.12,3.00,6.00,6.12,1.15,1.00,good,sunny,3.25,4.06
6.34,3.99,33.29,6.00,3.00,5.66,0.81,1.00,good,rainy,10.00,4.36
7.20,4.84,59.27,2.00,8.00,5.38,0.75,0.00,average,snowy,10.00,1.00
9.16,5.70,1.92,2.00,10.00,3.86,0.95,3.00,poor,cloudy,6.21,1.48
4.85,4.03,3.52,2.00,6.00,3.15,2.42,2.00,good,sunny,5.39,1.96
8.74,3.65,64.75,1.00,7.00,7.71,2.45,0.00,average,snowy,10.00,1.00
7.02,5.07,15.42,3.00,2.00,6.58,3.46,0.00,poor,sunny,8.78,1.00
5.53,2.83,0.29,5.00,5.00,3.42,1.77,0.00,average,cloudy,5.48,3.72
7.69,2.83,5.96,4.00,8.00,5.13,2.70,0.00,average,sunny,6.48,2.47
7.30,6.36,11.95,4.00,6.00,2.22,2.05,4.00,poor,sunny,7.80,3.02
6.10,2.70,23.61,3.00,2.00,4.04,2.30,0.00,average,rainy,10.00,1.00
7.10,6.33,26.42,2.00,3.00,6.07,2.81,2.00,poor,sunny,8.64,1.00
6.42,5.93,107.73,4.00,10.00,5.52,2.58,1.00,good,sunny,10.00,4.25
7.17,1.55,6.78,3.00,3.00,5.23,2.11,1.00,good,rainy,7.33,1.38
7.99,3.64,15.45,3.00,4.00,3.23,1.39,0.00,good,cloudy,9.56,1.00
9.38,7.39,15.24,1.00,9.00,2.83,2.28,1.00,average,snowy,9.20,1.00
5.14,3.04,10.41,4.00,2.00,6.90,3.36,1.00,average,rainy,6.83,3.63
10.20,4.07,3.71,3.00,5.00,8.39,2.18,2.00,good,cloudy,7.27,1.00
4.07,5.92,75.85,1.00,1.00,6.10,1.60,0.00,good,cloudy,10.00,1.00
6.77,6.57,38.39,1.00,5.00,4.66,2.82,2.00,poor,snowy,10.00,1.00
7.88,4.50,13.80,1.00,9.00,7.45,0.61,0.00,average,cloudy,8.67,1.00
7.42,3.80,18.49,2.00,2.00,3.32,1.64,0.00,average,rainy,9.81,1.00
6.07,7.84,5.16,3.00,5.00,7.11,1.02,0.00,average,cloudy,4.00,2.31
6.69,8.48,15.70,3.00,6.00,3.81,1.88,0.00,average,snowy,7.04,1.20
6.26,6.96,23.75,3.00,7.00,3.90,3.25,1.00,good,snowy,8.53,2.40
6.12,5.17,14.48,1.00,3.00,4.33,2.64,3.00,average,rainy,8.01,1.00
8.27,3.38,92.68,3.00,7.00,4.80,0.13,1.00,average,rainy,10.00,1.38
7.54,3.34,18.90,2.00,7.00,6.83,1.38,0.00,good,cloudy,8.61,1.00
5.96,6.05,9.27,1.00,6.00,2.39,0.50,0.00,average,snowy,7.01,1.00
8.35,5.84,29.58,1.00,4.00,3.79,3.06,2.00,good,snowy,10.00,1.00
